,Text,Label
0,Assalamualaikum,non-deppressive
1, Saya tak tahu nak mulakan dari mana,non-deppressive
2, Saya kini sedang berpantang anak ke-3,non-deppressive
3, Baru hari-10 berpantang,non-deppressive
4," Sebelum itu, bayi saya telah disahkan jaundice pada hari-5 dilahirkan selepas merasakan patut dibawa ke klinik",non-deppressive
5,Tapi saya dan suami ambil keputusan yang lambat dengan mendelaykan/ pantau di rumah selama 2 hari mana tahu kot kot menurun jaundicenya,non-deppressive
6,Hari ke-8 rasa tak sedap hati terus ke hospital dan jaundice mencapai 17 ,risk factor
7, Doktor kata kena admit,non-deppressive
8, Kami pasrah dan redha,risk factor
9, Tapi itu bukan la highlight untuk cerita saya,non-deppressive
10,Kisah bermula selepas anak selamat dilahirkan dan pada waktu anak dimasukkan semula ke hospital,non-deppressive
11, Suami saya ambil keputusan cuti 1 bulan untuk menjaga saya sewaktu pantang disamping ibu kandung saya juga datang bermalam di rumah untuk membantu apa yang patut,non-deppressive
12,Saya hargai semua usaha itu,non-deppressive
13," Dari hari ke hari berpantang saya, saya nampak perubahan yang ketara terhadap suami saya",non-deppressive
14, Dia sering memarahi anak2 terutama anak no,risk factor
15,"2, ada je silap sikit mesti anak no",risk factor
16,2 jadi mangsa,risk factor
17,Saya faham kenapa anak no,non-deppressive
18,"2 suka carik pasal sebab before saya pregnant, dengan saya la dia suka manja manja",non-deppressive
19, 24 jam berkepit dengan ibunya sampai la ibunya nak ke hospital untuk melahirkan adiknya,non-deppressive
20,So dari situ si kakak terasa dah ada gap macam dia rasa dirikan dia dah tak dipedulikan lagi,symptom
21," So solutionnya, si abang ajak adiknya join main game dekat laptop untuk ubati perasaan dia yang sedih tu",non-deppressive
22,"Saya tak tahu ini tindakan yang betul atau tak untuk distract dirinya dari ganggu saya time berpantang lagi lagi waktu menyusukan baby, tidurkan baby dan mengurut",non-deppressive
23, Plus tengah malam hingga ke pagi yang saya tak cukup tido,symptom
24,"Berbalik kepada ayahnya, dia akan tegas kepada anak no",risk factor
25,"2 ni, maksudnya bila anak tu tengah syok main game",risk factor
26,dengan tak semena mena dia suruh stop playing the game,risk factor
27, Memang kawan tu marah la tengah syok main game,risk factor
28,Saya biasanya akan berikan waktu contoh,non-deppressive
29, Okay lagi 15 minit stop ya main,non-deppressive
30, Dia akan turut perintah,non-deppressive
31, Tanpa masalah,non-deppressive
32,"Bila dah jadi camtu, bukan papa nya nak pujuk, di biarkan menangis konon konon pandai la pujuk diri tu sendiri",risk factor
33, Kawan tu baru 5 tahun kot,non-deppressive
34, Si abang di biarkan main game sampai tengah malam kadang kadang sampai ke pagi,risk factor
35,"Saya bukan nak cakap si adik patut dapat layanan sama macam abang, tapi pandai pandai la pujuk ikut kesesuaian umur anak",non-deppressive
36,Sudahnya saya yang tengah pantang ni pegi la pujuk,non-deppressive
37, Kalau tak nanti kacau pula adik nya tengah tidur,non-deppressive
38," Lepas tu si ayah ni kalau marahkan anak, dengan ibunya pon kena tempiasnya",risk factor
39,"Kalau jerit marah anak, sampai ke luar rumah boleh dengar",risk factor
40, Dan akan claim penat buat kerja rumah itu ini seolah olah nak memerli saya or nak highlightkan betapa penatnya buat kerja rumah hari hari,risk factor
41, Ada je benda nak kena buat,non-deppressive
42,(Now u know la kan ibu yang duduk rumah tu bukan goyang kaki je tengok drama korea semua bagai,non-deppressive
